program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Dions,Arapahoe,25750 E Arapahoe Rd,3,2,5,51
Dish Inverness,Arapahoe,90 E Inverness Cir,1,4,5,51
Dish Riverfront,Arapahoe,5701 S Santa Fe Dr,5,7,12,44
DocoFroYo,Douglas,2812 N Highway 85 Bldg E,0,0,0,56
Dog Haus,Arapahoe,12023 E Arapahoe Rd,4,1,5,51
Dog and Pony Restaurant and Pub,Arapahoe,2340 S Chambers Rd,1,0,1,55
Dollar General,Adams,7400 Highway 2,0,0,0,56
Dollar General,Adams,8495 Pecos St,2,5,7,49
Dollar General 19435,Adams,5300 Sheridan Blvd,0,2,2,54
Dollar Tree #03614,Arapahoe,351 Englewood Pkwy,3,4,7,49
Dollar Tree #04348,Arapahoe,7500 University Blvd,0,0,0,56
Dollar Tree #3915,Arapahoe,171 W County Line Rd,0,0,0,56
Dollar Tree 03075,Adams,9151 Washington St,1,2,3,53
Dollar Tree 03144,Adams,10615 Melody Dr,0,1,1,55
Dollar Tree 03499,Adams,3290 W 72nd Ave,1,3,4,52
Dollar Tree 03819,Adams,2439 Prairie Center Pkwy,0,1,1,55
Dollar Tree 03886,Adams,6000 E 64th Ave,1,2,3,53
Dollar Tree 04005,Douglas,5650 Allen Way,1,1,2,54
Dollar Tree 04040,Adams,1201 E 120th St,0,0,0,56
Dollar Tree 04338,Douglas,11000 S Parker Rd,1,3,4,52
Dollar Tree 04424,Adams,14458 Delaware St,0,1,1,55
Dollar Tree 04899,Adams,1407 W 84th Ave,0,2,2,54
Dollar Tree 05094,Douglas,8575 S Quebec St,1,1,2,54
Dollar Tree 07339,Adams,9430 N Sheridan Blvd,2,1,3,53
Dollar Tree 07477,Adams,825 S Kuner Rd,0,0,0,56
Dominos,Adams,1407 W 84th Ave Ste D3B,3,4,7,49
Dominos,Arapahoe,4260 S Chambers Rd,0,0,0,56
Dominos,Arapahoe,8450 E Iliff Ave Unit 3,3,1,4,52
Dominos,Douglas,558 Castle Pines Pkwy Unit 81,1,2,3,53
Dominos 8661,Adams,13644 Orchard Pkwy Ste 500,1,0,1,55
Dominos Pizza,Adams,9592 Federal Blvd,1,5,6,50
Dominos Pizza,Arapahoe,550 E Colfax Ave,3,3,6,50
Dominos Pizza,Arapahoe,5698 S Himalaya St Unit A,2,0,2,54
Dominos Pizza,Douglas,695 Jerry St Ste 108,2,2,4,52
Dominos Pizza 6217,Arapahoe,15281 E Mississippi Ave,1,1,2,54
Dominos Pizza 6239,Adams,3941 E 120th Ave,1,2,3,53
Dominos Pizza 6246,Adams,5171 W 64th Ave,1,3,4,52
Dominos Pizza 6357,Adams,530 E Bromley Ln Unit 110,0,3,3,53
Dominos Pizza 8654,Arapahoe,22651 E Aurora Pkwy,1,1,2,54
Don Juans Mexican Grill,Arapahoe,3625 W Bowles Ave Unit 16,11,8,19,37
Donut House,Arapahoe,25791 E Smoky Hill Rd Ste 20,3,1,4,52
Donut House,Arapahoe,3124 S Parker Rd Unit B,2,7,9,47
Donut House,Arapahoe,360 S Chambers Rd,2,4,6,50
Donut House The,Douglas,558 E Castle Pines Pkwy Unit B3,2,3,5,51
Donut House The,Douglas,9807 S Parker Rd,3,2,5,51
Donut The,Arapahoe,5270 E Arapahoe Rd Unit G8,1,3,4,52
Dos Amigos,Douglas,745 Wilcox St,4,7,11,45
Double Tree Hotel,Adams,8773 Yates Dr,4,7,11,45
DoubleTree Denver Tech Center,Arapahoe,7801 E Orchard Rd,1,1,2,54
DoubleTree by Hilton,Adams,83 E 120th Ave,5,4,9,47
DoubleTree by Hilton Aurora,Arapahoe,13696 E Iliff Pl,3,4,7,49
Dough Dreamery,Douglas,19751 E Main Ste R7,2,1,3,53
Douglas County Fairgrounds/ Indoor Arena,Douglas,500 Fairgrounds Rd Bldg B,0,2,2,54
Douglas County Fairgrounds/ Kirk Hall,Douglas,500 Fairgrounds Rd Bldg K,0,2,2,54
Douglas County High School,Douglas,2842 Front St,2,2,4,52
Douglas County High School/ South Building,Douglas,2693 Front St,1,6,7,49
Douglas County Justice Center,Douglas,4000 Justice Way,1,4,5,51
Douglas County School Shea Stadium Concessions,Douglas,3270 Redstone Park Cir,1,1,2,54
Douglas H Buck Community Recreation Center,Arapahoe,2004 W Powers Ave,9,5,14,42
Dougs Day Diner,Arapahoe,15444 E Orchard Rd,3,2,5,51
Dougs Diner,Adams,4243 E 136th Ave Unit 300,4,6,10,46
Dougs Diner,Douglas,18595 Mainstreet Unit 140,3,3,6,50
Downhill Brewing,Douglas,18921 E Plaza Dr Ste 104,2,0,2,54
Downtown Dinners,Arapahoe,6905 S Broadway,5,1,6,50
Dozens Restaurant,Arapahoe,2180 S Havana St,1,4,5,51
Dr Proctors Lounge,Arapahoe,4201 E Mississippi Ave,2,1,3,53
Dragon Boat,Arapahoe,13697 E Iliff Ave Ste 10,10,9,19,37
Dream Dinners,Arapahoe,7286 S Yosemite St Ste 120,2,6,8,48
Dream Dinners,Douglas,10447 S Parker Rd,0,4,4,52
Dream Pastries Inc,Douglas,370 Perry St,4,7,11,45
Drunken Monkeys,Adams,7667 Washington St,1,0,1,55
Drury Inn and Suites,Arapahoe,9445 E Dry Creek Rd,4,5,9,47
Dry Creek Cafe atHQ,Arapahoe,9201 E Dry Creek Rd,1,1,2,54
Dry Creek Deli,Arapahoe,7348 S Alton Way Bldg 9,4,7,11,45
Dry Creek Elementary,Arapahoe,7686 E Hinsdale Ave,1,0,1,55
Dry Creek Gas N Snack,Arapahoe,8787 E Dry Creek Rd,3,3,6,50
Dubbs Pub,Arapahoe,5301 S Broadway,2,0,2,54
Duffer Haus,Arapahoe,3470 S Broadway,5,0,5,51
Duffeyroll Cafe,Arapahoe,5198 S Broadway,5,5,10,46
Dukes Restaurant and Saloon,Douglas,363 Village Square Ln,0,2,2,54
Dulce Neveria,Adams,7055 Pecos St,2,3,5,51
Dungeons and Donuts,Arapahoe,6902 S Vine St Unit B,0,0,0,56
Dunkin Donuts 352462,Arapahoe,9595 E Arapahoe Rd Unit A,2,1,3,53
Dunkin Donuts 855,Adams,8775 Washington St,1,4,5,51
Dunkin Donuts 859,Adams,13591 N Huron St,1,0,1,55
Dunkin Donuts Baskin Robbins,Arapahoe,16401 E Arapahoe Rd Unit C,3,2,5,51
Dupont Elementary,Adams,7970 Kimberly St,0,0,0,56
Dutch Bros Coffee,Adams,41 W 84th,3,5,8,48
Dutch Bros Coffee,Arapahoe,14505 E Arapahoe Rd,1,0,1,55
ED Care,Arapahoe,4100 E Mississippi Ave Unit 1300,0,1,1,55
Eagle Ridge Academy,Adams,3551 E Southern St,0,1,1,55
Eagle Ridge Elementary School,Douglas,7716 Timberline Rd,0,1,1,55
Eagle View Elementary,Adams,4601 Summit Grove Pkwy,1,0,1,55
Eaglecrest High School,Arapahoe,5100 S Piccadilly St,1,0,1,55
Eagles Fraternal Order 3226,Adams,8651 Huron St,2,8,10,46
Earls,Douglas,8335 Park Meadows Center Dr,9,10,19,37
Early Bird Restaurant,Adams,11940 Bradburn Blvd Unit 400,7,7,14,42
Early Bird Restaurant,Arapahoe,5425 Landmark Pl,6,3,9,47
Early College of Arvada,Adams,4905 W 60th Ave,0,0,0,56
East Cafe,Arapahoe,15140 E Mississippi Ave,6,2,8,48
East China,Arapahoe,15510 E Centretech Pkwy,6,4,10,46
East Dynasty Restaurant,Arapahoe,22942 E Smoky Hill Rd,3,2,5,51
East Elementary,Arapahoe,5933 S Fairfield St,1,2,3,53
East Middle School,Arapahoe,1275 Fraser St,0,3,3,53
East Moon Asian Bistro and Sushi Bar,Arapahoe,8162 S Holly St,3,2,5,51
East Side Kosher Deli,Arapahoe,499 S Elm St,0,5,5,51
Eastridge Elementary,Arapahoe,11777 E Wesley Ave,0,0,0,56
Ecclesia,Douglas,221 Perry St,1,1,2,54
Echo Park Stadium Concessions,Douglas,11901 Newlin Gulch Blvd,1,1,2,54
Eclectic Elegance Events,Adams,8990 York St,2,3,5,51
Eco Gas,Arapahoe,3480 S Logan St,0,0,0,56
Eddie Merlots,Arapahoe,10110 E Dry Creek Rd,5,5,10,46
Edible Arrangements,Adams,100 E 120th Ave Unit G130,2,0,2,54
Edible Arrangements 503,Arapahoe,17856 Cottonwood Dr,1,1,2,54
Edo Higan,Douglas,8439 Park Meadows Center Dr Unit I 550,3,1,4,52
Egg Roll King,Douglas,7142 E County Line Rd,5,3,8,48
Egg The,Douglas,8800 S Colorado Blvd Unit B,5,4,9,47
Egg and I,Douglas,18901 E Mainstreet Unit A,4,3,7,49
Eggroll King East,Arapahoe,4217 S Buckley Rd,6,10,16,40
Einstein Bros Bagels 1240,Douglas,9385 S Colorado Blvd Unit 110,1,3,4,52
Einstein Bros Bagels 1402,Arapahoe,4090 S Parker Rd Unit C,1,0,1,55
Einstein Bros Bagels 1847,Arapahoe,4920 S Yosemite St Unit C4,1,3,4,52
Einstein Bros Bagels 2227,Adams,5180 W 120th Ave,2,6,8,48
Einstein Bros Bagels 2632,Douglas,9249 S Broadway # 700,2,5,7,49
Einstein Bros Bagels 2646,Arapahoe,6650 S Yosemite St Unit 10501,1,1,2,54
Einstein Bros Bagels 3346,Arapahoe,12073 E Arapahoe Rd Unit 100,0,1,1,55
Einstein Bros Bagels 3350,Adams,16495 E 40th Cir,2,4,6,50
Einstein Bros Bagels 3554,Arapahoe,6232 S Parker Rd Unit 400,2,3,5,51
Einstein Bros Bagels 3589,Arapahoe,18191 E Hampden Ave Unit A,2,3,5,51
Einstein Bros Bagels 3598,Arapahoe,697 W Hampden Ave Unit 104,5,3,8,48
Einstein Bros Bagels 3605,Douglas,3993 Limelight Ave Unit A,2,4,6,50
Einstein Bros Bagels 925,Arapahoe,7523 S University Blvd,1,3,4,52
El Aguila,Adams,6970 Highway 2,4,0,4,52
El Angel Restaurant,Adams,3133 Peoria St Unit 209,10,11,21,35
El Autentico Mexican Restaurant,Adams,5880 Broadway,3,3,6,50
El Azteca Mexican Food,Adams,2683 E 120th Ave Unit A3,8,10,18,38
El Berrinches Mexican,Adams,7850 Sheridan Blvd,3,4,7,49
El Bombon Nieves Crepas Y Algo Mas,Arapahoe,1082 Havana St,5,6,11,45
El Camaron Loco,Adams,218 N Main St,9,5,14,42
El Camaron Loco,Adams,6740 E 72nd Ave,7,8,15,41
El Camaron Loco,Arapahoe,513 Havana St,8,8,16,40
El Cameron Loco,Adams,619 W 84th Ave,4,7,11,45
El Camino,Adams,15355 E Colfax Ave Unit G1,6,4,10,46
El Canton Cantina,Adams,7052 Pecos St,4,2,6,50
El Carboncito,Arapahoe,15210 E 6th Ave,7,13,20,36
El Charro Market,Adams,6155 E 72nd Ave,7,5,12,44
El Chubbys,Arapahoe,1191 S Abilene St,5,2,7,49
El Coco Pirata,Adams,5411 Quebec St,4,2,6,50
El Dorado Elementary,Douglas,1305 Timbervale Trl,0,0,0,56
El Dorado Event Center,Arapahoe,525 Sable Blvd,1,4,5,51
El Fogon Mexican Restaurant,Adams,621 W 84th Ave,2,8,10,46
El Gordo Taqueria,Adams,1714 W 72nd Ave,2,3,5,51
El Jakalito Market,Arapahoe,15401 E Mississippi Ave,7,6,13,43
El Jakalito Market 2,Arapahoe,12203 E Iliff Ave Ste F,9,6,15,41
El Jardin Restaurant,Adams,6460 E 73rd Ave,2,4,6,50
El Jaripeo,Arapahoe,1050 S Havana St,4,4,8,48
El Karajo Mexican Restaurant,Arapahoe,6600 S Quebec St Ste A,6,7,13,43
El Korita Restaurant,Douglas,106 Wilcox St,3,7,10,46
El Lucerito Jr,Adams,3751 Tower Rd Ste A,6,8,14,42
El Lucero Mexican Restaurant,Arapahoe,1500 W Littleton Blvd Unit 103,5,3,8,48
El Mercado de Colorado,Adams,11505 E Colfax Ave Unit C,11,7,18,38
El Meson,Douglas,794 S Perry St,4,5,9,47
El Meson Mexican Restaurant,Douglas,3506 Town Center Dr Unit A,3,4,7,49
El Mirador,Adams,11370 Huron St,8,9,17,39
El Muchacho Alegre,Adams,3113 N Peoria St Unit E,9,3,12,44
El Muelle,Arapahoe,475 Sable Blvd Unit F,1,3,4,52
El Original Nightclub,Adams,7069 Pecos St,1,4,5,51
El Paisa,Adams,9541 E Colfax Ave,4,1,5,51
El Palenque Bar,Adams,490 N Main St,9,5,14,42
El Parral Mexican Restaurant,Arapahoe,9261 E Arapahoe Rd,4,6,10,46
El Pollo Feliz,Adams,2415 E 88th Ave,14,3,17,39
El Puerto DeVeracruz,Adams,680 E 58th Ave,5,8,13,43
El Sabor Jerezano Restaurant,Adams,10639 Melody Dr,7,4,11,45
El Senor Sol 8,Arapahoe,6651 S University Blvd,5,3,8,48
El Taco Loco Mexican Restaurant,Adams,644 S Main St,10,10,20,36
El Taco Stop,Adams,6960 Highway 2,2,6,8,48
El Tamalero,Arapahoe,1124 Yosemite St Unit A,4,3,7,49
El Tapatio,Arapahoe,9281 E Arapahoe Rd,3,4,7,49
El Tepehuan Restaurant,Arapahoe,3495 S Broadway St,7,3,10,46
El Tequileno Family Mexican Restaurant,Arapahoe,2790 S Havana St Unit X1,8,6,14,42
El Torito 3,Arapahoe,4978 Leetsdale Dr,7,4,11,45
El Wherever Bar,Adams,5500 N Washington St,3,1,4,52
Element Denver - RFE,Douglas,9985 Park Meadows Dr,2,1,3,53
Elevated Gains,Adams,12189 Pennsylvania St,0,0,0,56
Elkhart Elementary,Arapahoe,1020 Eagle St,0,1,1,55
Ella Bliss Beauty Bar,Arapahoe,8575 E Arapahoe Rd Unit N,2,1,3,53
Ella Bliss Beauty Bar,Douglas,3624 E Highlands Ranch Pkwy,1,1,2,54
Elsie Malley Senior Center,Arapahoe,3380 S Lincoln St,0,0,0,56
Elvis Cinemas,Adams,5157 W 64th Ave,2,1,3,53
EmNet Organics,Arapahoe,4086 S Parker Rd,2,2,4,52
Embassy Suites Denver Tech Center,Arapahoe,10250 E Costilla Ave,9,8,17,39
Emerald City Smoothie,Arapahoe,760 S Colorado Blvd Ste F,2,4,6,50
Emerald Isle,Arapahoe,4385 S Parker Rd,2,1,3,53
En El Puerto Vallarta,Adams,9538 Montview Blvd,8,9,17,39
Enchanted Grounds,Arapahoe,3615 W Bowles Ave Unit 6,3,3,6,50
Encore,Arapahoe,3139 S Broadway,0,2,2,54
Endeavor Academy,Arapahoe,14076 E Briarwood Ave,0,0,0,56
Englewood Grand,Arapahoe,3435 S Broadway,3,2,5,51
Englewood High School Football Concessions,Arapahoe,3800 S Logan St,2,0,2,54
Englewood Lodge BPOE 2122,Arapahoe,3690 S Jason St,3,1,4,52
Englewood Tavern,Arapahoe,4386 S Broadway,2,1,3,53
English Tealeaves,Douglas,18551 E Mainstreet Ste 1A,3,0,3,53
Epicurean Catering,Arapahoe,6800 S Xanthia St,3,2,5,51
Etais,Adams,101 E 70th Ave,2,3,5,51
Etais Bakery Cafe,Adams,13001 E 17th Pl,4,3,7,49
Etais Bakery Cafe Fiddlers Green,Arapahoe,6400 S Fiddlers Green Cir Ste 150,2,1,3,53
Etais Bakery Cafe at Anschutz,Adams,12700 E 19th Ave Bldg P51,7,5,12,44
Etais Bakery Cafe on Broadway,Adams,101 E 70th Ave,3,3,6,50
Euclid Middle School,Arapahoe,777 W Euclid Ave,0,0,0,56
Eurest Century Link Littleton,Arapahoe,700 W Mineral Ave,2,0,2,54
Eurest Dining,Arapahoe,333 Inverness Dr S,5,7,12,44
Eurest Dining Services,Arapahoe,16430 E Hughes Dr,0,2,2,54
Eurest Dining Services,Arapahoe,55 Inverness Dr E,3,6,9,47
Eurest Dining Services,Douglas,15 Inverness Way E,2,5,7,49
Eurest at DirecTV,Arapahoe,161 Inverness Dr W,3,6,9,47
Eurest at US Bank,Arapahoe,7459 S Lima St,4,5,9,47
Eurest at Visa Everywhere Lounge,Douglas,8744 Lucent Blvd 4 Fl D4,0,0,0,56
EurestatCharter,Arapahoe,6350 S Fiddlers Green Cir,1,0,1,55
Europa,Arapahoe,13728 E Quincy Ave,4,3,7,49
European Market,Adams,10699 Melody Dr,4,0,4,52
Everyday 5717,Douglas,17840 Cottonwood Dr,1,1,2,54
Everyday Store,Adams,7990 Federal Blvd,1,3,4,52
Everyday Stores LLC,Douglas,10610 Longs Way,1,3,4,52
Exo tikka Inc,Douglas,9447 Park Meadows Dr Unit A,5,2,7,49
Explore Elementary,Adams,2410 Poze Blvd,0,1,1,55
Extra Point Bar and Grill,Adams,4050 E 100th Ave Unit A,11,6,17,39
Faifo,Adams,5055 W 72nd Ave,5,5,10,46
Fairfield Inn & Suites,Adams,948 Platte River Blvd,0,2,2,54
Fairfield Inn and Suites,Arapahoe,13851 E Harvard Ave,0,1,1,55
Fairfield Inn and Suites DTC South,Arapahoe,7056 E County Line Rd,1,3,4,52
Fairfield Inn and Suites by Marriot,Arapahoe,24192 E Prospect Ave,1,0,1,55
Fairview Elementary/ Sat,Adams,7826 Fairview Ave,0,3,3,53
Falcon Creek Middle School,Arapahoe,6100 S Genoa St,0,1,1,55
Family Dollar 22656,Adams,7067 Pecos St,1,1,2,54
Family Dollar 25457,Adams,2010 W 92nd Ave,0,3,3,53
Family Dollar 26699,Adams,1750 E 112th Ave,1,0,1,55
Family Dollar 27094,Adams,1511 E Bridge St,0,1,1,55
Family Dollar 28702,Adams,9410 Federal Blvd,0,2,2,54
Family Dollar 30671,Adams,10360 Colorado Blvd,2,2,4,52
Family Dollar 32173,Adams,636 W 84th Ave,0,0,0,56
Family Dollar 9094,Adams,5947 E 64TH Ave,1,0,1,55
Family Dollar Store,Arapahoe,1500 W Littleton Blvd,0,1,1,55
Family Dollar Store 3285,Adams,831 E 88th Ave,2,3,5,51
Family Dollar Store 6174,Adams,6071 E 72nd Ave,0,1,1,55
Family Tree House of Hope,Arapahoe,3301 S Grant St,3,2,5,51
Famous Daves,Arapahoe,15725 E Briarwood Cir,2,4,6,50
Famous Daves BBQ,Adams,16539 Washington St,5,4,9,47
Famous Wok,Arapahoe,14200 E Alameda Ave Unit 2073,4,3,7,49
Farmgirl Foods,Douglas,221 Perry St,1,1,2,54
Farro,Arapahoe,8230 S Holly St,3,2,5,51
Fast Market 8157,Adams,505 W 120th Ave,2,3,5,51
Fast Market Store 8158,Arapahoe,7799 E Arapahoe Rd,0,1,1,55
Fat Boys Bar and Grill,Arapahoe,10660 E Alameda Ave,5,5,10,46
Fat Shack,Adams,2665 E 120th Ave,4,8,12,44
Fat Shack,Arapahoe,1708 S Chambers Rd Unit 10,2,3,5,51
Fatburger,Arapahoe,14221 E Cedar Ave Unit A,1,3,4,52
Fazolis,Adams,460 E 120th Ave,4,8,12,44
Fazolis,Arapahoe,1012 S Abilene St,4,2,6,50
Federal Heights Elementary,Adams,2500 W 96th Ave,0,0,0,56
Feedery The,Arapahoe,900 E Hampden Ave,7,1,8,48
Felt,Arapahoe,101 W Floyd Ave,7,8,15,41
Fiddlers Green Amphitheater - South Plaza,Arapahoe,6350 Greenwood Plaza Blvd,0,5,5,51
Fiddlers Green VIP Bar,Arapahoe,6350 Greenwood Plaza Blvd,0,1,1,55
Field Elementary,Arapahoe,5402 S Sherman Way,1,0,1,55
Finn Mc Cools Bar and Grill,Arapahoe,8880 E Arapahoe Rd,7,8,15,41
Fire Bowl Cafe,Arapahoe,11435 E Briarwood Ave Ste 900,4,6,10,46
Firehouse Subs,Adams,10060 Grant St,1,5,6,50
Firehouse Subs,Arapahoe,13650 E Colfax Ave Unit F,3,1,4,52
Firehouse Subs,Arapahoe,2250 S Parker Rd Ste 140,1,3,4,52
Firehouse Subs,Arapahoe,9445 E County Line Rd Unit B,3,6,9,47
Firehouse Subs,Douglas,11280 S Twenty Mile Rd Ste 102,3,3,6,50
Firehouse Subs,Douglas,3993 Limelight Ave,2,4,6,50
Firehouse Subs,Douglas,9559 S University Blvd Unit 108,1,1,2,54
Firehouse Subs,Douglas,9992 Commons St Ste 120,2,2,4,52
Firehouse Subs 1009,Arapahoe,15405 E Briarwood Cir Unit B,3,4,7,49
Firehouse Subs 995,Adams,3425 Salida St Ste B,7,9,16,40
Fireside,Douglas,3235 Mill Vista Rd,1,4,5,51
First Data,Arapahoe,5775 DTC Blvd,0,0,0,56
First Watch,Arapahoe,2406 S Parker Rd Ste A,2,1,3,53
First Watch Cafe,Adams,100 E 120th Ave Unit G140,3,6,9,47
First Watch Restaurant 324,Arapahoe,6890 S University Blvd Ste 20,2,0,2,54
First Watch Restaurant 436,Douglas,9344 Dorchester St,3,2,5,51
Fish and Company,Douglas,221 Perry St,0,1,1,55
Fit Kitchen 1,Arapahoe,901 W Hampden Ave,4,3,7,49
Five Guys Burgers,Adams,14326 Lincoln St,1,2,3,53
Five Guys Burgers and Fries,Arapahoe,2300 S Parker Rd Unit D,1,1,2,54
Five Guys Burgers and Fries,Arapahoe,23963 E Prospect Ave Unit H,1,2,3,53
Five Guys Burgers and Fries,Arapahoe,3751 Tower Rd Unit H,1,2,3,53
Five Guys Burgers and Fries,Arapahoe,4989 S Broadway Unit,1,0,1,55
Five Guys Burgers and Fries,Arapahoe,6710 S Cornerstar Way Unit C,0,0,0,56
Five Guys Burgers and Fries,Arapahoe,8547 E Arapahoe Rd Unit A,2,0,2,54
Five Guys Burgers and Fries,Douglas,34 E Allen St Ste 100,1,1,2,54
Five Guys Burgers and Fries,Douglas,9352 S Colorado Blvd,0,0,0,56
Five Guys Burgers and Fries,Douglas,9992 Commons St Ste 130,0,1,1,55
Five Star Stadium Concession Stand,Adams,9360 Washington Ave,1,2,3,53
Flagstone Elementary,Douglas,104 Lovington St,0,0,0,56
Flaming Joes,Arapahoe,18648 E Hampden Ave,1,0,1,55
Flavor of Havana Cigar Bar and Cocktail Lounge,Arapahoe,2295 S Chambers Rd Unit F,1,2,3,53
Flemings Prime Steak House,Arapahoe,191 Inverness Dr W,3,5,8,48
Floodstage Ale Works,Adams,170 S Main St,5,4,9,47
Fly N B Cafe,Douglas,3235 Mill Vista Rd,1,7,8,48
Flying Horse Catering,Douglas,703 Wilcox St,1,4,5,51
Fogo de Chao Churrascaria,Douglas,8419 Park Meadows Center Dr,4,7,11,45
Fondita Del Norte,Adams,7174 Washington St Unit B,5,2,7,49
Fontana Sushi,Arapahoe,19741 E Smoky Hill Rd Unit B,4,2,6,50
Food and Drink Resources,Arapahoe,6555 S Kenton St Unit 302,0,0,0,56
Formosa Garden,Arapahoe,16645 E Smoky Hill Rd Unit F & G,4,9,13,43
Fortune Kitchen,Arapahoe,12120 E Mississippi Ave,3,7,10,46
Foundations Academy,Adams,340 S 45th Ave,1,0,1,55
Fourleaf Chopped Salads,Arapahoe,6840 S Dallas Way,5,13,18,38
Fox Creek Elementary,Douglas,6585 Collegiate Dr,0,0,0,56
Fox Hollow Elementary,Arapahoe,6363 S Waco St,0,0,0,56
Fox Ridge Middle School,Arapahoe,26301 E Arapahoe Rd,1,1,2,54
Fox and Hound Sports Tavern,Douglas,9239 Park Meadows Dr,5,6,11,45
Fracos,Arapahoe,5302 S Federal Cir Unit A,3,0,3,53
Francis M Day Elementary SAT,Adams,1740 Jordan Dr,0,1,1,55
Francys Gourmet,Arapahoe,10111 Inverness Main St Unit M,11,7,18,38
Frank the Pizza King,Arapahoe,4701 S Broadway,5,4,9,47
Franklin Elementary,Arapahoe,1603 E Euclid Ave,0,0,0,56
Franktown Elementary,Douglas,1384 N Highway 83,0,3,3,53
Franktown Market,Douglas,1958 N Highway 83,1,2,3,53
Fraternal Order of Eagles 3224,Arapahoe,1151 S Galena St,4,3,7,49
Fraternal Order of Eagles 3365,Adams,290 N 6th Ave,3,8,11,45
Fraternal Order of Eagles 3947,Douglas,1300 Caprice Dr,1,4,5,51
Fred Hanson Elementary,Adams,7133 E 73rd Ave,0,0,0,56
Freddys Frozen Custard,Douglas,900 Sgt Jon Stiles Dr,0,4,4,52
Freddys Frozen Custard & Steak Burgers,Adams,14255 Lincoln St,6,4,10,46
Freddys Frozen Custard & Steakburgers,Douglas,18424 Cottonwood Dr,2,0,2,54
Freddys Frozen Custard and Steakburger,Arapahoe,1103 S Iola St,3,4,7,49
Freddys Frozen Custard and Steakburger,Arapahoe,15705 E Briarwood Cir,1,2,3,53
Freddys Frozen Custard and Steakburger,Arapahoe,2660 W Belleview Ave,3,0,3,53
Freddys Frozen Custard and Steakburger,Douglas,1346 New Beale St,1,6,7,49
Freddys Frozen Custard and Steakburgers,Douglas,11140 S Twenty Mile Rd,3,2,5,51
Freds Breakfast Burritos,Adams,130 W 70th Ave,3,2,5,51
French Press,Arapahoe,4668 S Yosemite St,7,2,9,47
French Press The,Arapahoe,15290 E Iliff Ave,3,7,10,46
Freshies,Arapahoe,6902 S Vine St Unit A,0,0,0,56
Friar Tucks,Douglas,650 Perry Park Rd,0,0,0,56
Friendly Shell,Adams,9201 Huron St,0,2,2,54
Fritangas Mexican Restaurant,Arapahoe,15099 E Hampden Ave,3,5,8,48
Frolic Brewing Company,Adams,12910 Zuni St Unit 1300,4,5,9,47
Frontier Valley Elementary,Douglas,23919 E Canterberry Pkwy,0,0,0,56
Froth Centennial,Arapahoe,14200 E Arapahoe Rd,2,2,4,52
Froth Espresso Cafe,Arapahoe,1501 S Potomac St,1,1,2,54
Froyo Denver,Douglas,10000 Bellwether Ln,0,1,1,55
Fu Shing Chinese Restaurant,Adams,1024 W 104th Ave,4,5,9,47
FuNuGyz,Douglas,17904 Cottonwood Dr,2,4,6,50
Fuji San Sams Club,Arapahoe,6201 S Aurora Pkwy,1,2,3,53
Fuji San Sushi,Douglas,5940 Promenade Pkwy,0,1,1,55
Fujisan,Douglas,7817 Park Meadows Dr,0,0,0,56
Fujisan Sushi,Adams,9601 Grant St,3,0,3,53
Fujisan Sushi,Arapahoe,880 S Abilene St,0,1,1,55
Fujiyama Sushi and Hibachi,Douglas,1100 Sgt Jon Stiles Dr Unit 104,5,6,11,45
Full House Bar and Grill,Arapahoe,4272 S Broadway,6,7,13,43
Fulton Elementary,Arapahoe,755 Fulton St,0,3,3,53
Funny Plus,Arapahoe,2779 S Parker Rd,4,7,11,45
Futures Center,Adams,550 E 124th Ave,0,0,0,56
Fuzzy Taco,Arapahoe,16401 E Arapahoe Rd Unit A,1,1,2,54
Fuzzy Taco,Douglas,12231 Pine Bluffs Way Ste 101,2,2,4,52
Fuzzys Taco Shop,Adams,10280 Washington St,4,6,10,46
Fuzzys Taco Shop,Adams,4301 Main St Ste 100,4,5,9,47
Fuzzys Taco Shop,Arapahoe,7592 S University Blvd,2,4,6,50
Fuzzys Taco Shop,Douglas,5700 New Abbey Ln Unit D-330,2,2,4,52
G Ducks Bar and Grill,Arapahoe,15420 E Hampden Ave,1,1,2,54
GQUE BBQ and G Freeze,Douglas,8433 Park Meadows Center Dr Unit 143A,4,5,9,47
GQue Barbecue,Adams,5160 W 120th Ave Unit K,4,7,11,45
Gabriels,Douglas,5450 Manhart St,1,4,5,51
Game Train,Douglas,2690 E County Line Rd Ste E,2,0,2,54
Garbanzo Mediterranean Grill,Douglas,9996 Commons St Unit 310,5,5,10,46
Garbanzo Mediterranean Grill 1001,Arapahoe,8547 E Arapahoe Rd Unit D,0,2,2,54
Garbanzo Mediterranean Grill 1006,Arapahoe,630 S Colorado Blvd,3,3,6,50
Garbanzo Mediterranean Grill 1009,Arapahoe,8225 S Chester St Unit 101,5,6,11,45
Garden Bistro Kitchen,Adams,451 E 58th Ave,1,2,3,53
Garden View Cafe,Adams,12605 E 16th Ave Mail F770,2,1,3,53
Garibaldi Mexican Bistro,Arapahoe,3298 S Broadway Unit B,6,3,9,47
Garlic Jims Famous Gourmet Pizza,Douglas,3982 Red Cedar Dr Ste A,0,4,4,52
Garlic Knot Pizza,Arapahoe,1422 S Parker Rd Unit A144,4,4,8,48
Garlic Knot Pizza,Arapahoe,5120 E Arapahoe Rd Ste C2,4,3,7,49
