program_id,county,site_address,total_violations
Dog and Pony Restaurant and Pub,Arapahoe,2340 S Chambers Rd,1
Dollar General,Adams,7400 Highway 2,0
Dollar General,Adams,8495 Pecos St,7
Dollar General 19435,Adams,5300 Sheridan Blvd,2
Dollar Tree #03614,Arapahoe,351 Englewood Pkwy,7
Dollar Tree #04348,Arapahoe,7500 University Blvd,0
Dollar Tree #3915,Arapahoe,171 W County Line Rd,0
Dollar Tree 03075,Adams,9151 Washington St,3
Dollar Tree 03144,Adams,10615 Melody Dr,1
Dollar Tree 03499,Adams,3290 W 72nd Ave,4
Dollar Tree 03819,Adams,2439 Prairie Center Pkwy,1
Dollar Tree 03886,Adams,6000 E 64th Ave,3
Dollar Tree 04005,Douglas,5650 Allen Way,2
Dollar Tree 04040,Adams,1201 E 120th St,0
Dollar Tree 04338,Douglas,11000 S Parker Rd,4
Dollar Tree 04424,Adams,14458 Delaware St,1
Dollar Tree 04899,Adams,1407 W 84th Ave,2
Dollar Tree 05094,Douglas,8575 S Quebec St,2
Dollar Tree 07339,Adams,9430 N Sheridan Blvd,3
Dollar Tree 07477,Adams,825 S Kuner Rd,0
Dominos,Adams,1407 W 84th Ave Ste D3B,7
Dominos,Arapahoe,4260 S Chambers Rd,0
Dominos,Arapahoe,8450 E Iliff Ave Unit 3,4
Dominos,Douglas,558 Castle Pines Pkwy Unit 81,3
Dominos 8661,Adams,13644 Orchard Pkwy Ste 500,1
Dominos Pizza,Adams,9592 Federal Blvd,6
Dominos Pizza,Arapahoe,550 E Colfax Ave,6
Dominos Pizza,Arapahoe,5698 S Himalaya St Unit A,2
Dominos Pizza,Douglas,695 Jerry St Ste 108,4
Dominos Pizza 6217,Arapahoe,15281 E Mississippi Ave,2
Dominos Pizza 6239,Adams,3941 E 120th Ave,3
Dominos Pizza 6246,Adams,5171 W 64th Ave,4
Dominos Pizza 6357,Adams,530 E Bromley Ln Unit 110,3
Dominos Pizza 8654,Arapahoe,22651 E Aurora Pkwy,2
Don Juans Mexican Grill,Arapahoe,3625 W Bowles Ave Unit 16,19
Donut House,Arapahoe,25791 E Smoky Hill Rd Ste 20,4
Donut House,Arapahoe,3124 S Parker Rd Unit B,9
Donut House,Arapahoe,360 S Chambers Rd,6
Donut House The,Douglas,558 E Castle Pines Pkwy Unit B3,5
Donut House The,Douglas,9807 S Parker Rd,5
Donut The,Arapahoe,5270 E Arapahoe Rd Unit G8,4
Dos Amigos,Douglas,745 Wilcox St,11
Double Tree Hotel,Adams,8773 Yates Dr,11
DoubleTree Denver Tech Center,Arapahoe,7801 E Orchard Rd,2
DoubleTree by Hilton,Adams,83 E 120th Ave,9
DoubleTree by Hilton Aurora,Arapahoe,13696 E Iliff Pl,7
Dough Dreamery,Douglas,19751 E Main Ste R7,3
Douglas County Fairgrounds/ Indoor Arena,Douglas,500 Fairgrounds Rd Bldg B,2
Douglas County Fairgrounds/ Kirk Hall,Douglas,500 Fairgrounds Rd Bldg K,2
Douglas County High School,Douglas,2842 Front St,4
Douglas County High School/ South Building,Douglas,2693 Front St,7
Douglas County Justice Center,Douglas,4000 Justice Way,5
Douglas County School Shea Stadium Concessions,Douglas,3270 Redstone Park Cir,2
Douglas H Buck Community Recreation Center,Arapahoe,2004 W Powers Ave,14
Dougs Day Diner,Arapahoe,15444 E Orchard Rd,5
Dougs Diner,Adams,4243 E 136th Ave Unit 300,10
Dougs Diner,Douglas,18595 Mainstreet Unit 140,6
Downhill Brewing,Douglas,18921 E Plaza Dr Ste 104,2
Downtown Dinners,Arapahoe,6905 S Broadway,6
Dozens Restaurant,Arapahoe,2180 S Havana St,5
Dr Proctors Lounge,Arapahoe,4201 E Mississippi Ave,3
Dragon Boat,Arapahoe,13697 E Iliff Ave Ste 10,19
Dream Dinners,Arapahoe,7286 S Yosemite St Ste 120,8
Dream Dinners,Douglas,10447 S Parker Rd,4
Dream Pastries Inc,Douglas,370 Perry St,11
Drunken Monkeys,Adams,7667 Washington St,1
Drury Inn and Suites,Arapahoe,9445 E Dry Creek Rd,9
Dry Creek Cafe atHQ,Arapahoe,9201 E Dry Creek Rd,2
Dry Creek Deli,Arapahoe,7348 S Alton Way Bldg 9,11
Dry Creek Elementary,Arapahoe,7686 E Hinsdale Ave,1
Dry Creek Gas N Snack,Arapahoe,8787 E Dry Creek Rd,6
Dubbs Pub,Arapahoe,5301 S Broadway,2
Duffer Haus,Arapahoe,3470 S Broadway,5
Duffeyroll Cafe,Arapahoe,5198 S Broadway,10
Dukes Restaurant and Saloon,Douglas,363 Village Square Ln,2
Dulce Neveria,Adams,7055 Pecos St,5
Dungeons and Donuts,Arapahoe,6902 S Vine St Unit B,0
Dunkin Donuts 352462,Arapahoe,9595 E Arapahoe Rd Unit A,3
Dunkin Donuts 855,Adams,8775 Washington St,5
Dunkin Donuts 859,Adams,13591 N Huron St,1
Dunkin Donuts Baskin Robbins,Arapahoe,16401 E Arapahoe Rd Unit C,5
Dupont Elementary,Adams,7970 Kimberly St,0
Dutch Bros Coffee,Adams,41 W 84th,8
Dutch Bros Coffee,Arapahoe,14505 E Arapahoe Rd,1
ED Care,Arapahoe,4100 E Mississippi Ave Unit 1300,1
Eagle Ridge Academy,Adams,3551 E Southern St,1
Eagle Ridge Elementary School,Douglas,7716 Timberline Rd,1
Eagle View Elementary,Adams,4601 Summit Grove Pkwy,1
Eaglecrest High School,Arapahoe,5100 S Piccadilly St,1
Eagles Fraternal Order 3226,Adams,8651 Huron St,10
Earls,Douglas,8335 Park Meadows Center Dr,19
Early Bird Restaurant,Adams,11940 Bradburn Blvd Unit 400,14
Early Bird Restaurant,Arapahoe,5425 Landmark Pl,9
Early College of Arvada,Adams,4905 W 60th Ave,0
East Cafe,Arapahoe,15140 E Mississippi Ave,8
East China,Arapahoe,15510 E Centretech Pkwy,10
East Dynasty Restaurant,Arapahoe,22942 E Smoky Hill Rd,5
East Elementary,Arapahoe,5933 S Fairfield St,3
East Middle School,Arapahoe,1275 Fraser St,3
East Moon Asian Bistro and Sushi Bar,Arapahoe,8162 S Holly St,5
East Side Kosher Deli,Arapahoe,499 S Elm St,5
Eastridge Elementary,Arapahoe,11777 E Wesley Ave,0
Ecclesia,Douglas,221 Perry St,2
Echo Park Stadium Concessions,Douglas,11901 Newlin Gulch Blvd,2
Eclectic Elegance Events,Adams,8990 York St,5
Eco Gas,Arapahoe,3480 S Logan St,0
Eddie Merlots,Arapahoe,10110 E Dry Creek Rd,10
Edible Arrangements,Adams,100 E 120th Ave Unit G130,2
Edible Arrangements 503,Arapahoe,17856 Cottonwood Dr,2
Edo Higan,Douglas,8439 Park Meadows Center Dr Unit I 550,4
Egg Roll King,Douglas,7142 E County Line Rd,8
Egg The,Douglas,8800 S Colorado Blvd Unit B,9
Egg and I,Douglas,18901 E Mainstreet Unit A,7
Eggroll King East,Arapahoe,4217 S Buckley Rd,16
Einstein Bros Bagels 1240,Douglas,9385 S Colorado Blvd Unit 110,4
Einstein Bros Bagels 1402,Arapahoe,4090 S Parker Rd Unit C,1
Einstein Bros Bagels 1847,Arapahoe,4920 S Yosemite St Unit C4,4
Einstein Bros Bagels 2227,Adams,5180 W 120th Ave,8
Einstein Bros Bagels 2632,Douglas,9249 S Broadway # 700,7
Einstein Bros Bagels 2646,Arapahoe,6650 S Yosemite St Unit 10501,2
Einstein Bros Bagels 3346,Arapahoe,12073 E Arapahoe Rd Unit 100,1
Einstein Bros Bagels 3350,Adams,16495 E 40th Cir,6
Einstein Bros Bagels 3554,Arapahoe,6232 S Parker Rd Unit 400,5
Einstein Bros Bagels 3589,Arapahoe,18191 E Hampden Ave Unit A,5
Einstein Bros Bagels 3598,Arapahoe,697 W Hampden Ave Unit 104,8
Einstein Bros Bagels 3605,Douglas,3993 Limelight Ave Unit A,6
Einstein Bros Bagels 925,Arapahoe,7523 S University Blvd,4
El Aguila,Adams,6970 Highway 2,4
El Angel Restaurant,Adams,3133 Peoria St Unit 209,21
El Autentico Mexican Restaurant,Adams,5880 Broadway,6
El Azteca Mexican Food,Adams,2683 E 120th Ave Unit A3,18
El Berrinches Mexican,Adams,7850 Sheridan Blvd,7
El Bombon Nieves Crepas Y Algo Mas,Arapahoe,1082 Havana St,11
El Camaron Loco,Adams,218 N Main St,14
El Camaron Loco,Adams,6740 E 72nd Ave,15
El Camaron Loco,Arapahoe,513 Havana St,16
El Cameron Loco,Adams,619 W 84th Ave,11
El Camino,Adams,15355 E Colfax Ave Unit G1,10
El Canton Cantina,Adams,7052 Pecos St,6
El Carboncito,Arapahoe,15210 E 6th Ave,20
El Charro Market,Adams,6155 E 72nd Ave,12
El Chubbys,Arapahoe,1191 S Abilene St,7
El Coco Pirata,Adams,5411 Quebec St,6
El Dorado Elementary,Douglas,1305 Timbervale Trl,0
El Dorado Event Center,Arapahoe,525 Sable Blvd,5
El Fogon Mexican Restaurant,Adams,621 W 84th Ave,10
El Gordo Taqueria,Adams,1714 W 72nd Ave,5
El Jakalito Market,Arapahoe,15401 E Mississippi Ave,13
El Jakalito Market 2,Arapahoe,12203 E Iliff Ave Ste F,15
El Jardin Restaurant,Adams,6460 E 73rd Ave,6
El Jaripeo,Arapahoe,1050 S Havana St,8
El Karajo Mexican Restaurant,Arapahoe,6600 S Quebec St Ste A,13
El Korita Restaurant,Douglas,106 Wilcox St,10
El Lucerito Jr,Adams,3751 Tower Rd Ste A,14
El Lucero Mexican Restaurant,Arapahoe,1500 W Littleton Blvd Unit 103,8
El Mercado de Colorado,Adams,11505 E Colfax Ave Unit C,18
El Meson,Douglas,794 S Perry St,9
El Meson Mexican Restaurant,Douglas,3506 Town Center Dr Unit A,7
El Mirador,Adams,11370 Huron St,17
El Muchacho Alegre,Adams,3113 N Peoria St Unit E,12
El Muelle,Arapahoe,475 Sable Blvd Unit F,4
El Original Nightclub,Adams,7069 Pecos St,5
El Paisa,Adams,9541 E Colfax Ave,5
El Palenque Bar,Adams,490 N Main St,14
El Parral Mexican Restaurant,Arapahoe,9261 E Arapahoe Rd,10
El Pollo Feliz,Adams,2415 E 88th Ave,17
El Puerto DeVeracruz,Adams,680 E 58th Ave,13
El Sabor Jerezano Restaurant,Adams,10639 Melody Dr,11
El Senor Sol 8,Arapahoe,6651 S University Blvd,8
El Taco Loco Mexican Restaurant,Adams,644 S Main St,20
El Taco Stop,Adams,6960 Highway 2,8
El Tamalero,Arapahoe,1124 Yosemite St Unit A,7
El Tapatio,Arapahoe,9281 E Arapahoe Rd,7
El Tepehuan Restaurant,Arapahoe,3495 S Broadway St,10
El Tequileno Family Mexican Restaurant,Arapahoe,2790 S Havana St Unit X1,14
El Torito 3,Arapahoe,4978 Leetsdale Dr,11
El Wherever Bar,Adams,5500 N Washington St,4
Element Denver - RFE,Douglas,9985 Park Meadows Dr,3
Elevated Gains,Adams,12189 Pennsylvania St,0
Elkhart Elementary,Arapahoe,1020 Eagle St,1
Ella Bliss Beauty Bar,Arapahoe,8575 E Arapahoe Rd Unit N,3
Ella Bliss Beauty Bar,Douglas,3624 E Highlands Ranch Pkwy,2
Elsie Malley Senior Center,Arapahoe,3380 S Lincoln St,0
Elvis Cinemas,Adams,5157 W 64th Ave,3
EmNet Organics,Arapahoe,4086 S Parker Rd,4
Embassy Suites Denver Tech Center,Arapahoe,10250 E Costilla Ave,17
Emerald City Smoothie,Arapahoe,760 S Colorado Blvd Ste F,6
Emerald Isle,Arapahoe,4385 S Parker Rd,3
En El Puerto Vallarta,Adams,9538 Montview Blvd,17
Enchanted Grounds,Arapahoe,3615 W Bowles Ave Unit 6,6
Encore,Arapahoe,3139 S Broadway,2
Endeavor Academy,Arapahoe,14076 E Briarwood Ave,0
Englewood Grand,Arapahoe,3435 S Broadway,5
Englewood High School Football Concessions,Arapahoe,3800 S Logan St,2
Englewood Lodge BPOE 2122,Arapahoe,3690 S Jason St,4
Englewood Tavern,Arapahoe,4386 S Broadway,3
English Tealeaves,Douglas,18551 E Mainstreet Ste 1A,3
Epicurean Catering,Arapahoe,6800 S Xanthia St,5
Etais,Adams,101 E 70th Ave,5
Etais Bakery Cafe,Adams,13001 E 17th Pl,7
Etais Bakery Cafe Fiddlers Green,Arapahoe,6400 S Fiddlers Green Cir Ste 150,3
Etais Bakery Cafe at Anschutz,Adams,12700 E 19th Ave Bldg P51,12
Etais Bakery Cafe on Broadway,Adams,101 E 70th Ave,6
Euclid Middle School,Arapahoe,777 W Euclid Ave,0
Eurest Century Link Littleton,Arapahoe,700 W Mineral Ave,2
Eurest Dining,Arapahoe,333 Inverness Dr S,12
Eurest Dining Services,Arapahoe,16430 E Hughes Dr,2
Eurest Dining Services,Arapahoe,55 Inverness Dr E,9
Eurest Dining Services,Douglas,15 Inverness Way E,7
Eurest at DirecTV,Arapahoe,161 Inverness Dr W,9
Eurest at US Bank,Arapahoe,7459 S Lima St,9
Eurest at Visa Everywhere Lounge,Douglas,8744 Lucent Blvd 4 Fl D4,0
EurestatCharter,Arapahoe,6350 S Fiddlers Green Cir,1
Europa,Arapahoe,13728 E Quincy Ave,7
European Market,Adams,10699 Melody Dr,4
Everyday 5717,Douglas,17840 Cottonwood Dr,2
Everyday Store,Adams,7990 Federal Blvd,4
Everyday Stores LLC,Douglas,10610 Longs Way,4
Exo tikka Inc,Douglas,9447 Park Meadows Dr Unit A,7
Explore Elementary,Adams,2410 Poze Blvd,1
Extra Point Bar and Grill,Adams,4050 E 100th Ave Unit A,17
Faifo,Adams,5055 W 72nd Ave,10
Fairfield Inn & Suites,Adams,948 Platte River Blvd,2
Fairfield Inn and Suites,Arapahoe,13851 E Harvard Ave,1
Fairfield Inn and Suites DTC South,Arapahoe,7056 E County Line Rd,4
Fairfield Inn and Suites by Marriot,Arapahoe,24192 E Prospect Ave,1
Fairview Elementary/ Sat,Adams,7826 Fairview Ave,3
Falcon Creek Middle School,Arapahoe,6100 S Genoa St,1
Family Dollar 22656,Adams,7067 Pecos St,2
Family Dollar 25457,Adams,2010 W 92nd Ave,3
Family Dollar 26699,Adams,1750 E 112th Ave,1
Family Dollar 27094,Adams,1511 E Bridge St,1
Family Dollar 28702,Adams,9410 Federal Blvd,2
Family Dollar 30671,Adams,10360 Colorado Blvd,4
Family Dollar 32173,Adams,636 W 84th Ave,0
Family Dollar 9094,Adams,5947 E 64TH Ave,1
Family Dollar Store,Arapahoe,1500 W Littleton Blvd,1
Family Dollar Store 3285,Adams,831 E 88th Ave,5
Family Dollar Store 6174,Adams,6071 E 72nd Ave,1
Family Tree House of Hope,Arapahoe,3301 S Grant St,5
Famous Daves,Arapahoe,15725 E Briarwood Cir,6
Famous Daves BBQ,Adams,16539 Washington St,9
Famous Wok,Arapahoe,14200 E Alameda Ave Unit 2073,7
Farmgirl Foods,Douglas,221 Perry St,2
Farro,Arapahoe,8230 S Holly St,5
Fast Market 8157,Adams,505 W 120th Ave,5
Fast Market Store 8158,Arapahoe,7799 E Arapahoe Rd,1
Fat Boys Bar and Grill,Arapahoe,10660 E Alameda Ave,10
Fat Shack,Adams,2665 E 120th Ave,12
Fat Shack,Arapahoe,1708 S Chambers Rd Unit 10,5
Fatburger,Arapahoe,14221 E Cedar Ave Unit A,4
Fazolis,Adams,460 E 120th Ave,12
Fazolis,Arapahoe,1012 S Abilene St,6
Federal Heights Elementary,Adams,2500 W 96th Ave,0
Feedery The,Arapahoe,900 E Hampden Ave,8
Felt,Arapahoe,101 W Floyd Ave,15
Fiddlers Green Amphitheater - South Plaza,Arapahoe,6350 Greenwood Plaza Blvd,5
Fiddlers Green VIP Bar,Arapahoe,6350 Greenwood Plaza Blvd,1
Field Elementary,Arapahoe,5402 S Sherman Way,1
Finn Mc Cools Bar and Grill,Arapahoe,8880 E Arapahoe Rd,15
Fire Bowl Cafe,Arapahoe,11435 E Briarwood Ave Ste 900,10
Firehouse Subs,Adams,10060 Grant St,6
Firehouse Subs,Arapahoe,13650 E Colfax Ave Unit F,4
Firehouse Subs,Arapahoe,2250 S Parker Rd Ste 140,4
Firehouse Subs,Arapahoe,9445 E County Line Rd Unit B,9
Firehouse Subs,Douglas,11280 S Twenty Mile Rd Ste 102,6
Firehouse Subs,Douglas,3993 Limelight Ave,6
Firehouse Subs,Douglas,9559 S University Blvd Unit 108,2
Firehouse Subs,Douglas,9992 Commons St Ste 120,4
Firehouse Subs 1009,Arapahoe,15405 E Briarwood Cir Unit B,7
Firehouse Subs 995,Adams,3425 Salida St Ste B,16
Fireside,Douglas,3235 Mill Vista Rd,5
First Data,Arapahoe,5775 DTC Blvd,0
First Watch,Arapahoe,2406 S Parker Rd Ste A,3
First Watch Cafe,Adams,100 E 120th Ave Unit G140,9
First Watch Restaurant 324,Arapahoe,6890 S University Blvd Ste 20,2
First Watch Restaurant 436,Douglas,9344 Dorchester St,5
Fish and Company,Douglas,221 Perry St,1
Fit Kitchen 1,Arapahoe,901 W Hampden Ave,7
Five Guys Burgers,Adams,14326 Lincoln St,3
Five Guys Burgers and Fries,Arapahoe,2300 S Parker Rd Unit D,2
Five Guys Burgers and Fries,Arapahoe,23963 E Prospect Ave Unit H,3
Five Guys Burgers and Fries,Arapahoe,3751 Tower Rd Unit H,3
Five Guys Burgers and Fries,Arapahoe,4989 S Broadway Unit,1
Five Guys Burgers and Fries,Arapahoe,6710 S Cornerstar Way Unit C,0
Five Guys Burgers and Fries,Arapahoe,8547 E Arapahoe Rd Unit A,2
Five Guys Burgers and Fries,Douglas,34 E Allen St Ste 100,2
Five Guys Burgers and Fries,Douglas,9352 S Colorado Blvd,0
Five Guys Burgers and Fries,Douglas,9992 Commons St Ste 130,1
Five Star Stadium Concession Stand,Adams,9360 Washington Ave,3
Flagstone Elementary,Douglas,104 Lovington St,0
Flaming Joes,Arapahoe,18648 E Hampden Ave,1
Flavor of Havana Cigar Bar and Cocktail Lounge,Arapahoe,2295 S Chambers Rd Unit F,3
Flemings Prime Steak House,Arapahoe,191 Inverness Dr W,8
Floodstage Ale Works,Adams,170 S Main St,9
Fly N B Cafe,Douglas,3235 Mill Vista Rd,8
Flying Horse Catering,Douglas,703 Wilcox St,5
Fogo de Chao Churrascaria,Douglas,8419 Park Meadows Center Dr,11
Fondita Del Norte,Adams,7174 Washington St Unit B,7
Fontana Sushi,Arapahoe,19741 E Smoky Hill Rd Unit B,6
Food and Drink Resources,Arapahoe,6555 S Kenton St Unit 302,0
Formosa Garden,Arapahoe,16645 E Smoky Hill Rd Unit F & G,13
Fortune Kitchen,Arapahoe,12120 E Mississippi Ave,10
Foundations Academy,Adams,340 S 45th Ave,1
Fourleaf Chopped Salads,Arapahoe,6840 S Dallas Way,18
Fox Creek Elementary,Douglas,6585 Collegiate Dr,0
Fox Hollow Elementary,Arapahoe,6363 S Waco St,0
Fox Ridge Middle School,Arapahoe,26301 E Arapahoe Rd,2
Fox and Hound Sports Tavern,Douglas,9239 Park Meadows Dr,11
Fracos,Arapahoe,5302 S Federal Cir Unit A,3
Francis M Day Elementary SAT,Adams,1740 Jordan Dr,1
Francys Gourmet,Arapahoe,10111 Inverness Main St Unit M,18
Frank the Pizza King,Arapahoe,4701 S Broadway,9
Franklin Elementary,Arapahoe,1603 E Euclid Ave,0
Franktown Elementary,Douglas,1384 N Highway 83,3
Franktown Market,Douglas,1958 N Highway 83,3
Fraternal Order of Eagles 3224,Arapahoe,1151 S Galena St,7
Fraternal Order of Eagles 3365,Adams,290 N 6th Ave,11
Fraternal Order of Eagles 3947,Douglas,1300 Caprice Dr,5
Fred Hanson Elementary,Adams,7133 E 73rd Ave,0
Freddys Frozen Custard,Douglas,900 Sgt Jon Stiles Dr,4
Freddys Frozen Custard & Steak Burgers,Adams,14255 Lincoln St,10
Freddys Frozen Custard & Steakburgers,Douglas,18424 Cottonwood Dr,2
Freddys Frozen Custard and Steakburger,Arapahoe,1103 S Iola St,7
Freddys Frozen Custard and Steakburger,Arapahoe,15705 E Briarwood Cir,3
Freddys Frozen Custard and Steakburger,Arapahoe,2660 W Belleview Ave,3
Freddys Frozen Custard and Steakburger,Douglas,1346 New Beale St,7
Freddys Frozen Custard and Steakburgers,Douglas,11140 S Twenty Mile Rd,5
Freds Breakfast Burritos,Adams,130 W 70th Ave,5
French Press,Arapahoe,4668 S Yosemite St,9
French Press The,Arapahoe,15290 E Iliff Ave,10
Freshies,Arapahoe,6902 S Vine St Unit A,0
Friar Tucks,Douglas,650 Perry Park Rd,0
Friendly Shell,Adams,9201 Huron St,2
Fritangas Mexican Restaurant,Arapahoe,15099 E Hampden Ave,8
Frolic Brewing Company,Adams,12910 Zuni St Unit 1300,9
Frontier Valley Elementary,Douglas,23919 E Canterberry Pkwy,0
Froth Centennial,Arapahoe,14200 E Arapahoe Rd,4
Froth Espresso Cafe,Arapahoe,1501 S Potomac St,2
Froyo Denver,Douglas,10000 Bellwether Ln,1
Fu Shing Chinese Restaurant,Adams,1024 W 104th Ave,9
FuNuGyz,Douglas,17904 Cottonwood Dr,6
Fuji San Sams Club,Arapahoe,6201 S Aurora Pkwy,3
Fuji San Sushi,Douglas,5940 Promenade Pkwy,1
Fujisan,Douglas,7817 Park Meadows Dr,0
Fujisan Sushi,Adams,9601 Grant St,3
Fujisan Sushi,Arapahoe,880 S Abilene St,1
Fujiyama Sushi and Hibachi,Douglas,1100 Sgt Jon Stiles Dr Unit 104,11
Full House Bar and Grill,Arapahoe,4272 S Broadway,13
Fulton Elementary,Arapahoe,755 Fulton St,3
Funny Plus,Arapahoe,2779 S Parker Rd,11
Futures Center,Adams,550 E 124th Ave,0
Fuzzy Taco,Arapahoe,16401 E Arapahoe Rd Unit A,2
Fuzzy Taco,Douglas,12231 Pine Bluffs Way Ste 101,4
Fuzzys Taco Shop,Adams,10280 Washington St,10
Fuzzys Taco Shop,Adams,4301 Main St Ste 100,9
Fuzzys Taco Shop,Arapahoe,7592 S University Blvd,6
Fuzzys Taco Shop,Douglas,5700 New Abbey Ln Unit D-330,4
G Ducks Bar and Grill,Arapahoe,15420 E Hampden Ave,2
GQUE BBQ and G Freeze,Douglas,8433 Park Meadows Center Dr Unit 143A,9
GQue Barbecue,Adams,5160 W 120th Ave Unit K,11
Gabriels,Douglas,5450 Manhart St,5
Game Train,Douglas,2690 E County Line Rd Ste E,2
Garbanzo Mediterranean Grill,Douglas,9996 Commons St Unit 310,10
Garbanzo Mediterranean Grill 1001,Arapahoe,8547 E Arapahoe Rd Unit D,2
Garbanzo Mediterranean Grill 1006,Arapahoe,630 S Colorado Blvd,6
Garbanzo Mediterranean Grill 1009,Arapahoe,8225 S Chester St Unit 101,11
Garden Bistro Kitchen,Adams,451 E 58th Ave,3
Garden View Cafe,Adams,12605 E 16th Ave Mail F770,3
Garibaldi Mexican Bistro,Arapahoe,3298 S Broadway Unit B,9
Garlic Jims Famous Gourmet Pizza,Douglas,3982 Red Cedar Dr Ste A,4
Garlic Knot Pizza,Arapahoe,1422 S Parker Rd Unit A144,8
Garlic Knot Pizza,Arapahoe,5120 E Arapahoe Rd Ste C2,7
Garlic Knot Pizza and Pasta,Arapahoe,1621 W Canal Cir Unit 100,11
Garlic Knot The,Adams,3995 E 120th Ave,17
Garlic Knot The,Arapahoe,1706 S Chambers Rd,12
Garnish Indian Fusion Cuisine,Arapahoe,6585 Greenwood Plaza Blvd,4
Gas Mart,Adams,1550 W 88th Ave Unit A,3
Gateway High School,Arapahoe,1300 S Sable Blvd,1
Gaylord of the Rockies - Pinyon Bar,Arapahoe,6700 N Gaylord Rockies Blvd,1
Ge-Jos Original,Arapahoe,7200 E Dry Creek Rd Unit R,4
Genghis Grill,Arapahoe,9617 E County Line Rd Unit B,6
Genji Ramen,Arapahoe,6853 S York St Unit 119,1
Georges Restaurant,Arapahoe,3454 S Broadway,12
Ghana International Market LLC,Arapahoe,495 Havana St,8
Gibbys Sports Saloon,Arapahoe,1555 S Havana St Unit W,3
Gigis Cupcakes,Arapahoe,7301 S Santa Fe Dr Unit 625,5
Glacier Homemade Ice Cream,Arapahoe,3455 S University Blvd Unit A,2
Glacier Ice Cream and Gelato,Arapahoe,4940 S Yosemite St Unit E1,2
Glacier Ice Cream and Gelato of CR,Douglas,115 N Wilcox St Unit 110,3
Glacier Peak Elementary,Adams,12060 Jasmine St,3
Glazed and Confuzed Donuts,Arapahoe,4660 S Yosemite St,0
Glenmoor Country Club/Main Level Kitchen,Arapahoe,110 Glenmoor Dr,3
Glenn Bar and Grill,Adams,11140 Irma Dr,11
Global Village Academy Douglas County,Douglas,18451 Ponderosa Dr,0
Global Village Academy Northglenn,Adams,555 W 112th Ave,4
Global Village Academy West Campus,Arapahoe,16401 E Alameda Dr,0
Gluten Escape,Arapahoe,7255 S Havana St Unit 110,3
Go Puff,Adams,3055 W 74th Ave Unit A,1
Go Puff,Arapahoe,7550A S Grant St,1
Goddard Middle School,Arapahoe,3800 W Berry Ave,4
Godfathers Pizza,Adams,227 N Main St,7
Gold Rush Elementary,Douglas,12021 S Swift Fox Way,6
Golden Corral Buffet and Grill,Adams,9751 Grant St,6
Golden Corral Buffet and Grill,Arapahoe,15775 E Arapahoe Rd,3
Golden Corral Buffet and Grill,Arapahoe,3677 S Santa Fe Dr,9
Golden Crust Pizza and Subs,Adams,5595 Pecos St Unit C,5
Golden Flame Hot Wings,Arapahoe,18757 E Hampden Ave Ste 156,9
Golden Flame Hot Wings,Douglas,16524 Keystone Blvd Ste D1,6
Golden Flame Hot Wings-Production Kitchen,Arapahoe,18757 E Hampden Unit 152,3
Golden Flames Hot Wings,Douglas,363 Village Square Ln Ste 145,8
Golden Saigon Vietnamese Restaurant,Arapahoe,2648 S Parker Rd Unit 3,6
Golden Scoop,Adams,536 Malley Dr,2
Golden Shanghai,Arapahoe,1412 S Parker Rd Unit A134,10
Golden Sky Sushi,Arapahoe,10180 E Colfax Ave Unit 184,2
Golden Town,Adams,5976 E 64th Ave,11
Golden Wok,Arapahoe,15280 E Hampden Ave,15
Golf 1st Deli and Coffee LLC,Arapahoe,10 S Havana St Ste 108,8
Golf Club at Bear Dance,Douglas,6630 Bear Dance Dr,11
Golf Club at Ravenna,Douglas,8250 Palladio Ct # A,6
Gomez Burritos,Adams,5520 Washington St,7
Good Times Burgers and Frozen Custard,Arapahoe,1220 S Buckley Rd,4
Good Times Burgers and Frozen Custard,Arapahoe,24093 E Prospect Ave,8
Good Times Burgers and Frozen Custard,Douglas,11305 S Parker Rd,9
Good Times Drive Thru Burgers,Adams,10450 Melody Dr,8
Good Times Drive Thru Burgers,Adams,16522 Washington St,4
Good Times Drive Thru Burgers,Adams,4003 E 120th Ave,9
Good Times Drive Thru Burgers,Adams,550 E Bromley Ln,14
Good Times Drive Thru Burgers,Arapahoe,16810 E Quincy Ave,9
Good Times Drive Thru Burgers,Arapahoe,6667 S Yosemite Ct,3
Good Times Drive Thru Burgers 117,Arapahoe,1105 S Havana St,9
Goodtimes Burgers,Douglas,9401 S University Blvd,2
Goodys Eatery,Adams,3010 W 72nd Ave,15
Gordibuena,Adams,7225 Monaco St,3
Gordos Mexican Restaurant,Adams,8101 Washington St,13
Gothic Theater,Arapahoe,3263 S Broadway,2
Gourmet Away,Arapahoe,14281 E Exposition Ave,5
Gourmet to Go,Arapahoe,3255 W Hampden Ave,5
GraceFull Cafe,Arapahoe,5610 S Curtice St,1
Grand Slam Snacks,Douglas,3280 Redstone Park Cir,0
Grande Station,Arapahoe,2299 W Main St,5
Grandmas Sweet Tooth,Adams,9656 Washington St,4
Grandview High School,Arapahoe,20500 E Arapahoe Rd,0
Granellis Pizzeria,Douglas,21 Wilcox St,11
Great Beginnings,Douglas,11800 E Oswego St Unit D70,11
Great Greek Mediterranean Grill,Adams,14315 Orchard Pkwy Ste 400,5
Great Hall of Abraxas,Adams,12004 Melody Dr,2
Great Harvest Bread Company,Arapahoe,5910 S University Blvd Unit A12,4
