program_id,county,site_address,total_violations
Anayas Bakery and Suplay,Adams,1550 Sable Blvd,17
Andys Frozen Custard,Arapahoe,3505 River Point Pkwy,6
Andys Frozen Custard,Arapahoe,6985 S Broadway,3
Angelos Tavern & Carboy Winery,Arapahoe,6885 S Santa Fe Dr,9
Angies Restaurant,Douglas,201 4th St,13
Angry Chicken,Arapahoe,1930 S Havana St Unit 13,6
Antelope Ridge Elementary,Arapahoe,5455 S Tempe St,2
Antepian Turkish Cuisine,Arapahoe,2767 S Parker Rd,7
Anthonys II,Adams,3901 E 112th Ave Unit RS,4
Anthonys Pizza and Pasta,Arapahoe,17150 E Iliff Ave Unit A2,0
Anthonys Pizza and Pasta,Arapahoe,20269 E Smoky Hill Rd,11
Anthonys Pizza and Pasta,Arapahoe,2610 W Belleview Ave Ste 100,5
Anthonys Pizza and Pasta,Arapahoe,6860 S Clinton Ct Unit A,12
Anthonys Pizza and Pasta,Douglas,3506 Town Center Dr Unit E,5
Anthonys Pizza and Pasta,Douglas,880 W Happy Canyon Rd Ste 105,17
Anthonys Pizza and Pasta,Douglas,9234 Park Meadows Dr Ste 300,5
Anthonys Pizza and Pasta 16,Douglas,17001 Lincoln Ave Unit F,7
Antojitos Hondurenos,Adams,11703 E Colfax Ave,10
Antonios Pizza Pasta Wings,Douglas,12947 S Parker Rd,11
Apple Junction Barbecue Catering,Adams,14694 Orchard Pkwy Unit 700,2
Apple Spice,Arapahoe,7346 S Alton Way Unit 10G,6
Applebees Neighborhood Grill and Bar,Adams,100 W 104th Ave,9
Applebees Neighborhood Grill and Bar,Arapahoe,14091 E Iliff Ave,2
Applebees Neighborhood Grill and Bar,Arapahoe,16485 E 40th Cir,17
Applebees Neighborhood Grill and Bar,Arapahoe,8292 S University Blvd,3
Applebees Neighborhood Grill and Bar,Douglas,390 W Allen St,4
Applebees Neighborhood Grill and Bar 28,Adams,297 E 120th Ave,9
Applebees Neighborhood Grill and Bar 39,Adams,922 S 4th Ave,8
Applebees Restaurant,Arapahoe,10501 E Garden Dr,4
Aramark Arrow Campus,Arapahoe,9151 E Panorama Cir,8
Aramark Correctional Services Inc 3175,Adams,1450 E 62nd Ave,3
Aramark Sports and Entertainment Dicks Sport Good,Adams,6000 Victory Way,6
